FPOGX,FPOGY,FPOGD,FPOGV,Question,Regions
0.26892,0.27042,0.93238,1,1,-1
0.39395,0.39281,3.0258700000000007,1,1,2
0.029480000000000006,0.51252,7.364969999999999,1,1,3
0.02058,0.22355,0.27416999999999997,1,1,-1
0.02087,0.2251,2.07201,1,1,0
0.02069,0.2373,15.622059999999998,1,1,-1
0.03268,0.30566,1.08228,1,1,1
0.0234,0.285,12.12498,1,1,-1
0.01848,0.28331,1.00269,1,1,-1
0.01708,0.29534,1.40601,1,1,1
0.00968,0.43641,20.298569999999998,1,1,-1
0.01114,0.38089,7.05495,1,1,1
0.06535,0.39258,0.2356,1,1,-1
0.06467,0.39076,1.4255400000000003,1,1,1
0.06476,0.39712,1.8151899999999999,1,1,2
0.03705,0.62557,0.2544,1,1,4
0.03943,0.62487,0.6950700000000001,1,1,3
0.0401,0.6257199999999999,6.34764,1,1,4
0.03314,0.6232300000000001,1.56006,1,1,3
0.02749,0.3873,3.9729000000000005,1,1,1
0.0351,0.49649,1.48779,1,1,2
0.0613,0.06897,5.315680000000002,1,1,-1
0.14145,0.08385,0.9096799999999998,1,1,0
0.01276,0.38866,1.20117,1,1,1
0.43208,0.607,2.87086,1,1,-1
0.0693,0.39016,1.8303200000000002,1,2,1
0.01831,0.39048,2.71313,1,2,1
0.03221,0.39385,2.4665500000000002,1,2,2
0.059670000000000015,0.37378,0.40552,1,2,1
0.0492,0.27814,0.33154,1,2,-1
0.0485,0.24129,2.6484,1,2,0
0.0099,0.38452,22.78468000000001,1,2,-1
0.01112,0.30149000000000004,0.61303,1,2,1
0.02426,0.23828,1.63525,1,2,0
0.04299,0.06894,2.1782299999999997,1,2,-1
0.05703,0.07027,5.083729999999999,1,2,0
0.02053,0.15882000000000002,6.363299999999999,1,2,-1
0.02277,0.28616,0.68458,1,2,1
0.03585,0.6259399999999999,3.70975,1,2,4
0.04016,0.62498,5.95191,1,2,3
0.03936,0.39412,1.13988,1,2,2
0.06221,0.38749,2.7971200000000005,1,2,1
0.02144,0.23262,4.95313,1,2,0
