FPOGX,FPOGY,FPOGD,FPOGV,Question,Regions
0.17165,0.24218,31.750999999999998,1,1,0
0.09989,0.62256,15.103400000000002,1,1,3
0.05905,0.5079199999999999,4.8800799999999995,1,1,2
0.0736,0.50871,0.42737,1,1,-1
0.07605,0.50962,0.90362,1,1,3
0.0793,0.5089899999999999,0.96924,1,1,-1
0.08023999999999999,0.50717,7.08061,1,1,2
0.09984,0.39726,1.56324,1,1,2
0.06581000000000001,0.62676,13.751889999999998,1,1,4
0.08417999999999999,0.24375,5.0772499999999985,1,1,0
0.05657,0.39204,0.36121,1,1,-1
0.05639,0.39049,1.60987,1,1,1
0.05566,0.39218,0.4433,1,1,-1
0.05585,0.39385,13.09563,1,1,2
0.08976,0.39408,27.975170000000006,1,1,2
0.17584,0.24477,17.446470000000005,1,1,0
0.11405,0.24448000000000006,1.18317,1,2,0
0.11264,0.24789,4.88018,1,2,-1
0.0709,0.39267,13.872679999999999,1,2,2
0.07178,0.5079199999999999,10.442600000000002,1,2,2
0.06959,0.62493,0.18048,1,2,3
0.07354,0.62555,1.1499,1,2,4
0.07882,0.62416,5.156850000000001,1,2,3
0.06697,0.28433,0.80713,1,2,-1
0.07203,0.28581,0.37811,1,2,1
0.07199,0.28476,11.520620000000003,1,2,-1
0.12717,0.24515,6.912679999999998,1,2,0
0.11617,0.30753,0.34681,1,2,1
0.10454,0.4153600000000001,0.6905000000000001,1,2,2
0.12214,0.28681,0.29645,1,2,1
0.12466,0.28005,1.6275,1,2,-1
0.11181,0.28749,2.20086,1,2,1
0.08202000000000001,0.39348,36.81282000000001,1,2,2
0.05242,0.62462,2.54687,1,2,3
0.16314,0.23913,2.2155600000000004,1,2,0
0.08675,0.24584,45.02777999999999,1,3,-1
0.08686,0.39248,0.21368,1,3,-1
0.06982000000000001,0.39077,1.44769,1,3,1
0.07612000000000001,0.39234,0.23016,1,3,-1
0.07724,0.3954,57.827000000000055,1,3,2
0.1407,0.28791,3.2073799999999992,1,3,1
0.11907,0.28465,7.954410000000001,1,4,-1
0.11285,0.24405,32.87769,1,4,0
0.09602,0.24915,0.62396,1,4,-1
0.14281,0.63341,145.75985000000003,1,4,4
0.05044,0.39383,2.6951599999999996,1,4,2
0.05847,0.38597,1.2478699999999998,1,4,1
0.07212,0.2406,0.65801,1,4,0
0.06975,0.24806,2.5495700000000006,1,4,-1
0.11294,0.25281,5.6651,1,4,-1
0.10957,0.24522,4.471590000000001,1,4,0
0.12819,0.24592,1.92516,1,4,-1
0.13971,0.24505,0.37823,1,4,0
0.061979999999999986,0.50253,0.41204,1,4,2
0.06119,0.5141600000000001,2.79602,1,4,3
0.04805,0.62569,18.98425,1,4,4
0.15953,0.24393,1.3312400000000002,1,5,0
0.13706,0.24752,0.27936,1,5,-1
0.09351,0.25068,1.2333399999999999,1,5,-1
0.11016,0.28536,0.41144000000000003,1,5,1
0.11538,0.28274,0.27967,1,5,-1
0.1128,0.28717,10.206120000000002,1,5,1
0.11977,0.23925,3.38342,1,5,0
0.20953,0.24017,62.894390000000016,1,5,0
0.35365,0.0742,19.021199999999993,1,5,0
0.07783999999999999,0.5102,4.7748800000000005,1,5,3
0.14859,0.24438,21.495330000000006,1,5,0
0.27426,0.25333,0.42724,1,5,-1
0.09156,0.6281399999999999,0.80427,1,5,4
0.07196,0.62355,12.55331,1,5,3
0.0705,0.39054,0.1977,1,5,1
0.06948,0.39368,32.87274000000001,1,5,2
0.07646,0.61834,7.441080000000001,1,5,3
0.08312,0.5028,8.04733,1,5,2
0.07552,0.62536,34.692440000000005,1,5,4
0.08877,0.62756,2.4302,1,5,4
0.11492,0.28242,1.4019800000000002,1,5,-1
0.11437,0.28546,6.09548,1,5,1
0.10826,0.28507,3.58112,1,6,-1
0.08954,0.24722,4.828360000000001,1,6,-1
0.12467,0.26548,0.2461,1,6,-1
0.11203,0.2987,1.11602,1,6,1
0.08486,0.3855,2.13786,1,6,1
0.07697999999999999,0.39173,0.27899,1,6,-1
0.07622000000000001,0.39361,13.009390000000002,1,6,2
0.1286,0.39127,0.9694200000000001,1,6,1
0.14262,0.24316,6.25009,1,6,0
0.1259,0.6126699999999999,0.4602,1,6,3
0.08014,0.39727,10.851340000000002,1,6,2
0.11033,0.38339,0.98809,1,6,1
0.11864,0.39357,2.3687,1,6,2
0.11427,0.39225,1.47943,1,6,-1
0.11531,0.39307,37.084,1,6,2
0.1124,0.39221,12.57012,1,6,-1
0.10774,0.39262,2.7111799999999997,1,6,2
0.10754,0.39231,8.52942,1,6,-1
0.10559,0.39272,13.851549999999998,1,6,2
0.06314,0.39268,1.6215899999999999,1,6,2
0.09414,0.6267699999999999,0.11499,1,6,4
0.09667,0.6217600000000001,25.74321,1,6,3
0.11504,0.24572,2.5482199999999997,1,7,-1
0.1006,0.28188,3.67382,1,7,-1
0.10381,0.24504,54.288470000000025,1,7,0
0.09572,0.28733000000000003,12.737330000000002,1,7,1
0.11388,0.2815,1.42988,1,7,-1
0.10376,0.24449,3.8028600000000004,1,7,0
0.16804000000000002,0.24929,0.42809,1,7,-1
0.17917,0.24365,26.119549999999993,1,7,0
0.0942,0.24894,1.92591,1,7,-1
0.13319,0.24339,11.398269999999998,1,7,0
0.05077,0.50675,2.17188,1,7,2
0.053,0.5092,0.2962,1,7,-1
0.052620000000000014,0.51085,6.916610000000001,1,7,3
0.19025,0.24031,76.16351999999998,1,8,0
0.08788,0.24573000000000006,2.0379699999999996,1,8,-1
0.08505,0.2801,0.5741,1,8,-1
0.07899,0.2435,0.34491,1,8,0
0.07954,0.24946,11.72671,1,8,-1
0.08874,0.28688,0.8543700000000001,1,8,1
0.10474,0.28398,2.8937999999999997,1,8,-1
0.16468,0.25478,0.37684,1,8,-1
0.06529,0.39456,27.191979999999997,1,8,2
