FPOGX,FPOGY,FPOGD,FPOGV,Question,Regions
0.24991,0.62375,1.4462899999999999,1,1,3
0.0672,0.39126,0.7387699999999999,1,1,1
0.06236000000000001,0.39265,0.88916,1,1,2
0.06323,0.38945,1.15063,1,1,1
0.05922,0.39272,23.62402,1,1,2
0.05919,0.3916,0.29761,1,2,1
0.06337000000000001,0.39395,0.55932,1,2,2
0.06698,0.39122,46.86890000000001,1,2,1
0.0679,0.39206,0.88721,1,2,-1
0.06797,0.39357,7.59154,1,2,2
0.07065,0.24222,5.3694,1,3,0
0.09029,0.24919,0.83325,1,3,-1
0.0561,0.50798,2.32103,1,3,2
0.07342,0.39557,0.95556,1,4,2
0.06498999999999999,0.38943,11.23365,1,4,1
0.13045,0.26301,0.37597,1,4,-1
0.12324,0.29397,0.42578,1,4,1
0.04916,0.51904,4.88256,1,4,3
0.04123,0.5100100000000001,20.22827,1,4,3
0.09618,0.23118,2.16457,1,5,0
0.08918,0.06909,0.6919,1,5,-1
0.08291,0.07157999999999999,56.93242,1,5,0
0.0615,0.37052,1.15063,1,6,1
0.7875800000000001,0.8721700000000001,4.972690000000001,1,6,5
0.05997,0.38659,1.64283,1,6,1
0.04881,0.3964,2.3169,1,7,2
0.06688999999999999,0.38225,1.3337299999999999,1,7,1
0.43577,0.27449,0.77172,1,7,-1
0.08571000000000001,0.37598,0.8227599999999999,1,9,1
0.05744,0.50865,0.2959,1,9,-1
0.05778,0.50979,0.6413599999999999,1,9,3
0.057329999999999985,0.50912,0.34521,1,9,-1
0.05816,0.50705,4.78199,1,9,2
0.08613,0.5102399999999999,0.36304,1,9,3
0.08623,0.50651,0.27954,1,9,2
0.11540999999999997,0.5112,0.97119,1,9,3
0.87165,0.8064100000000001,3.69778,1,9,5
0.10905,0.28468000000000004,5.63917,1,9,-1
0.0475,0.5090600000000001,0.29614,1,10,-1
0.04722,0.5072399999999999,0.98584,1,10,2
0.05491,0.51197,0.36133,1,10,3
0.3176,0.7292,1.11524,1,10,4
0.1256,0.24497,0.21362,1,11,0
0.12682000000000002,0.2438,50.58811999999999,1,11,0
0.17878,0.25939,0.44311999999999996,1,11,-1
0.15433,0.29179,7.611070000000001,1,11,1
0.03741,0.5072,18.34372,1,11,2
0.12742,0.24097,4.39209,1,12,0
0.02535,0.50315,4.04638,1,12,2
0.08156000000000001,0.3921,0.65747,1,14,-1
0.0819,0.39036,23.648189999999996,1,14,1
0.05222,0.51188,8.56909,1,14,3
0.056270000000000014,0.5119199999999999,0.24634,1,14,3
0.05294,0.50822,1.92187,1,14,2
0.04235,0.51078,2.5100099999999994,1,14,3
0.033030000000000004,0.637,1.0192700000000001,1,14,4
0.7831100000000001,0.78862,2.33937,1,15,-1
0.06293,0.50385,1.78224,1,15,2
0.12859,0.25957,0.34595,1,15,-1
0.10576,0.28708,12.526349999999999,1,15,1
0.78265,0.81291,8.631549999999999,1,15,5
0.10547,0.08145,6.02786,1,16,0
0.084,0.24938,0.2793,1,16,-1
0.07975,0.29186,1.3991799999999999,1,16,1
0.05752,0.39954,22.574460000000002,1,16,2
0.07472000000000001,0.24723,0.47631999999999997,1,17,-1
0.06612,0.50666,4.69067,1,17,2
0.11526,0.30664,1.03809,1,17,1
0.17003,0.25591,0.21362,1,18,-1
0.08714,0.39115,0.39111,1,18,1
0.08591,0.39844,59.896810000000016,1,18,2
0.12633,0.28391,0.8877,1,18,-1
0.16122,0.24485,15.865910000000003,1,18,0
0.06227000000000001,0.38671,0.73902,1,18,1
0.05854,0.39614,10.0398,1,18,2
0.14263,0.28721,30.901579999999992,1,18,1
0.8746,0.99974,2.9816899999999995,1,18,5
0.14711,0.24352,0.13184,1,19,0
0.1482,0.2456,1.38282,1,19,-1
0.16049000000000002,0.24119,14.386480000000004,1,19,0
0.04535,0.6262300000000001,5.489760000000001,1,19,4
0.02788,0.49899,4.187750000000001,1,19,2
0.06058,0.39066,0.68994,1,19,1
0.06234,0.29852,0.5751999999999999,1,19,1
0.15344000000000002,0.62976,0.43164,1,19,4
0.05859,0.38279,6.04715,1,20,1
0.06502999999999999,0.39185,1.42896,1,20,-1
0.06443,0.3915,52.41555000000001,1,20,1
0.26622,0.28746,10.85327,1,20,1
0.17401,0.24885,0.5424800000000001,1,21,-1
0.05479,0.6227699999999999,33.54247000000001,1,21,3
0.07576000000000001,0.5108699999999999,5.23951,1,21,3
0.0944,0.39241,0.2793,1,21,-1
0.09461,0.38984,3.3686600000000007,1,21,1
0.10439,0.39385,3.4358000000000004,1,21,2
0.10247,0.3924,0.41089,1,21,-1
0.10248,0.39098,44.45162000000001,1,21,1
0.09063,0.24671,0.28027,1,22,-1
0.08943999999999999,0.24307,49.26978999999999,1,22,0
0.08447,0.29127,16.860860000000006,1,22,1
0.11957,0.38362,20.633809999999997,1,22,1
0.22098,0.24081,5.522739999999998,1,22,0
0.05913,0.62471,42.0693,1,22,3
0.07719,0.39301,1.05126,1,23,2
0.05779,0.62362,10.87843,1,23,3
0.04033,0.50925,0.49414,1,24,-1
0.06071,0.3894,13.893060000000002,1,24,1
0.06074,0.39388,0.34473,1,25,2
0.06321,0.39163,31.387670000000014,1,25,1
0.11278,0.24224,11.041720000000002,1,25,0
0.1385,0.24901,1.14649,1,25,-1
0.15951,0.29498,39.95113999999999,1,25,1
0.33492,0.4031,0.24512,1,25,2
0.19921,0.39002,2.94775,1,25,1
0.07446,0.28506,0.6836,1,26,-1
0.08382,0.24029,14.32179,1,26,0
0.11800000000000001,0.25582,0.24609999999999999,1,26,-1
0.10702,0.30125,1.11597,1,26,1
0.8998,1.00098,1.28271,1,26,-1
0.89349,0.99882,1.11719,1,26,5
0.05957000000000001,0.39186,0.31226,1,27,-1
