FPOGD,FPOGV,Question,Regions
6.206440000000001,1,1,-1
0.67716,1,1,1
0.53674,1,1,2
3.5323899999999995,1,1,1
6.00761,1,1,1
0.18089,1,1,1
0.55885,1,1,-1
1.06906,1,1,1
5.08138,1,1,-1
1.11668,1,1,1
1.13588,1,1,3
12.538630000000008,1,1,2
2.2902699999999996,1,1,3
10.8866,1,1,3
9.192370000000002,1,1,2
1.21769,1,1,3
0.74573,1,1,-1
0.86913,1,1,1
0.74093,1,2,-1
0.90902,1,2,-1
10.264940000000005,1,2,0
1.2665700000000002,1,2,-1
1.44737,1,2,2
0.29684999999999995,1,2,-1
2.33632,1,2,2
3.733450000000001,1,2,3
5.40484,1,2,2
1.6279200000000003,1,2,4
0.14676,1,2,3
3.04517,1,2,4
2.88505,1,2,3
0.34579000000000004,1,2,2
0.68959,1,2,1
0.47665,1,2,-1
1.99219,1,2,-1
0.27954,1,2,0
1.282,1,2,-1
0.72308,1,2,1
2.9092400000000005,1,2,3
0.14787999999999998,1,2,2
0.39388,1,2,3
0.16451,1,2,-1
5.904730000000002,1,2,2
4.14935,1,2,2
11.586780000000001,1,2,3
0.92118,1,3,-1
19.29324000000001,1,3,1
3.9915499999999997,1,3,4
1.13346,1,3,3
4.883279999999999,1,3,1
0.80647,1,3,2
0.81043,1,3,1
5.2396899999999995,1,3,0
0.49356,1,3,0
0.1974,1,3,-1
0.9389400000000001,1,3,1
8.13966,1,3,2
0.5694300000000001,1,4,1
0.93146,1,4,-1
3.9100100000000007,1,4,-1
7.5242700000000005,1,4,0
0.21341,1,4,-1
1.92226,1,4,4
0.60897,1,4,-1
3.454290000000001,1,4,4
10.25656,1,4,4
1.32982,1,4,4
0.6910000000000001,1,4,3
0.21371,1,4,-1
3.36697,1,4,0
1.39807,1,4,-1
0.23027,1,4,2
6.70827,1,4,3
11.769550000000002,1,5,4
0.34484000000000004,1,5,0
4.751870000000001,1,5,-1
0.18073999999999998,1,5,-1
1.3817,1,5,0
4.30131,1,5,0
1.42782,1,5,2
4.82709,1,5,2
4.42127,1,5,3
2.7767699999999995,1,5,4
4.3891100000000005,1,5,4
1.1994500000000001,1,6,1
3.69928,1,6,0
12.531800000000002,1,6,2
2.52185,1,6,2
6.947419999999999,1,6,3
2.6311799999999996,1,6,3
0.26141,1,6,-1
1.1845400000000001,1,6,2
5.61705,1,6,2
0.57495,1,6,-1
5.14228,1,6,3
0.24643,1,6,2
0.11507,1,6,-1
7.329200000000001,1,6,3
6.914060000000002,1,7,0
0.49475,1,7,1
6.082059999999999,1,7,2
0.92039,1,7,3
2.02039,1,7,2
1.6773799999999999,1,7,3
20.249729999999985,1,7,4
1.98234,1,8,-1
1.43144,1,8,-1
0.16455,1,8,-1
0.37862,1,8,1
4.77088,1,8,4
0.36160000000000003,1,8,2
2.6459,1,8,1
5.880570000000001,1,9,1
1.5513400000000002,1,9,2
0.35944,1,9,-1
1.17825,1,9,1
2.1362200000000002,1,9,1
0.5749200000000001,1,9,-1
0.5442,1,9,-1
0.29539000000000004,1,9,2
0.11504,1,9,3
8.21222,1,9,2
1.89066,1,9,2
0.28024,1,9,3
2.3221400000000005,1,9,2
3.14464,1,9,3
0.31245,1,9,4
7.152380000000001,1,9,3
0.69004,1,9,1
0.43009,1,9,-1
22.07197,1,9,4
0.29582,1,9,-1
0.82124,1,9,4
2.2538,1,9,5
0.93544,1,10,-1
10.86806,1,10,0
0.72191,1,10,0
0.37773,1,10,-1
14.231450000000004,1,10,1
0.29366000000000003,1,10,1
1.6054,1,10,2
6.86059,1,11,0
0.49393,1,11,-1
2.15116,1,11,0
5.6524600000000005,1,11,0
0.44377,1,11,-1
1.16551,1,11,1
0.7397499999999999,1,11,1
0.62395,1,11,-1
