TIME(2019/12/16 15:58:09.816),TIMETICK(f=2143482),FPOGX,FPOGY,FPOGD,FPOGV,Question,Regions
283.83838,4814378251460,0.09247999999999999,0.35428000000000004,0.18262,1,25,-1
283.85547,4814378287334,0.09328,0.34441,0.19971,1,25,-1
283.87158,4814378321826,0.09299,0.3358,0.21581999999999998,1,25,-1
283.88574,4814378352312,0.09292,0.32881,0.22998000000000002,1,25,-1
283.90332,4814378390577,0.0939,0.29113,0.22998000000000002,0,25,-1
283.91943,4814378424561,0.10171000000000001,0.24401,0.22998000000000002,0,25,-1
283.93506,4814378458516,0.10302,0.22395,0.22998000000000002,0,25,-1
283.95801,4814378507711,0.10224,0.21711999999999998,0.054689999999999996,1,25,-1
283.97021,4814378533631,0.10082999999999999,0.21101,0.06688999999999999,1,25,-1
283.98535,4814378565919,0.09912,0.20511999999999997,0.08202999999999999,1,25,-1
284.00586,4814378609612,0.09929,0.20302,0.10254,1,25,-1
284.01855,4814378637088,0.09919,0.20227,0.11523,1,25,-1
284.05127000000005,4814378707335,0.09887,0.19943,0.14795,1,25,-1
284.06885,4814378745167,0.09817000000000001,0.19559,0.16552999999999998,1,25,-1
284.08496,4814378779861,0.09711,0.191,0.18164,1,25,-1
284.10205,4814378816148,0.09535,0.18602,0.19873,1,25,-1
284.11719,4814378849086,0.09386,0.18206,0.21386999999999998,1,25,-1
284.15234,4814378923880,0.09245,0.17582,0.24902,1,25,-1
284.16504,4814378951196,0.09192,0.17275,0.26172,1,25,-1
284.18164,4814378986646,0.09145,0.17001,0.27831999999999996,1,25,-1
284.19824,4814379022106,0.09101000000000001,0.1686,0.29491999999999996,1,25,-1
284.21436,4814379056911,0.08566,0.14093,0.29491999999999996,0,25,-1
284.23096,4814379092253,0.08682000000000001,0.11597,0.29491999999999996,0,25,-1
284.24756,4814379128065,0.08274,0.10315999999999999,0.29491999999999996,0,25,-1
284.27051,4814379177222,0.07883,0.0908,0.05615,1,25,-1
284.27979,4814379197576,0.07675,0.08505,0.06543,1,25,-1
284.30078,4814379241916,0.07797,0.08726,0.08642999999999999,1,25,-1
284.31299,4814379268375,0.08201,0.09493,0.09863,1,25,-1
284.3291,4814379303441,0.08653,0.10524000000000001,0.11475,1,25,-1
284.34862999999996,4814379344748,0.09256,0.11329000000000002,0.13427999999999998,1,25,-1
284.36768,4814379385255,0.09592,0.11980999999999999,0.15332,1,25,-1
284.37891,4814379409331,0.09834,0.12397000000000001,0.16455,1,25,-1
284.39795,4814379450881,0.09745,0.12849000000000002,0.18359,1,25,-1
284.41162,4814379479651,0.09784,0.12879000000000002,0.19727,1,25,-1
284.42822,4814379514936,0.09776,0.12783,0.21386999999999998,1,25,-1
284.44482,4814379550917,0.09717,0.12752,0.23046999999999998,1,25,-1
