FPOGX,FPOGY,FPOGD,FPOGV,Question,Regions
0.08749,0.33327,0.48632,1,1,1
0.1097,0.24188,4.3589,1,1,0
0.07826,0.62762,10.078640000000002,1,1,4
0.07973,0.7371800000000001,6.089109999999999,1,1,4
0.08359,0.50141,11.135970000000004,1,1,2
0.11543,0.28349,0.8312999999999999,1,1,-1
0.11411,0.29783000000000004,1.39086,1,1,1
0.09506,0.51037,0.14575,1,1,3
0.09565,0.5038,86.05621000000001,1,1,2
0.11839,0.34594,0.24829,1,1,1
0.11376,0.40451,11.2554,1,1,2
0.12730999999999998,0.24929,3.8349699999999998,1,2,-1
0.14412,0.28676,4.2941899999999995,1,2,1
0.09892,0.51727,8.800799999999999,1,2,3
0.09416,0.6271,0.30029,1,2,4
0.09526,0.62384,0.11841,1,2,3
0.0926,0.62612,0.8239700000000001,1,2,4
0.08497,0.6241800000000001,1.52587,1,2,3
0.07804,0.62845,24.852110000000007,1,2,4
0.09404,0.62469,10.44504,1,2,3
0.1112,0.5090399999999999,0.39575,1,2,-1
0.08492000000000001,0.73733,13.971199999999998,1,2,4
0.09716,0.7376199999999999,53.509489999999985,1,2,4
0.14178,0.5076,8.2544,1,2,2
0.15641,0.50797,2.78198,1,2,2
0.1239,0.38617,1.68093,1,2,1
0.11982,0.28352,0.41943,1,2,-1
0.12692,0.28779,2.9585,1,2,1
0.10152,0.62635,2.54371,1,3,4
0.10088,0.6178100000000001,2.16114,1,3,3
0.09673,0.39496,1.50952,1,3,2
0.08901,0.38998,1.4709400000000001,1,4,1
0.11888,0.24701,0.8930699999999999,1,4,-1
0.15741,0.28486,2.9929200000000002,1,4,-1
0.16476,0.24622,9.329109999999998,1,4,-1
0.15949000000000002,0.25972,0.2334,1,4,-1
0.7871600000000001,0.8676200000000001,5.34887,1,4,5
0.11395,0.62865,0.19238,1,4,4
0.11286,0.62369,5.0757,1,4,3
0.19896,0.28083,0.41871,1,5,-1
0.21956,0.24352,2.3054200000000002,1,5,0
0.16521,0.28771,1.3007900000000001,1,5,1
0.28484,0.28559,0.24585,1,5,1
0.289,0.28451,0.82764,1,5,-1
0.40358,0.28665,0.46948999999999996,1,5,1
0.40324,0.28448,2.0209900000000003,1,5,-1
0.38122,0.28791,0.6098600000000001,1,5,1
0.06585,0.5192399999999999,2.3471699999999998,1,5,3
0.08775,0.63332,4.664579999999999,1,5,4
0.19371,0.2874,1.42164,1,6,1
0.10076,0.62957,12.73391,1,6,4
0.7767,0.90383,0.9917099999999999,1,6,-1
0.15884,0.28584,0.10107,1,6,1
0.15222,0.28236,9.692870000000003,1,6,-1
0.10488,0.6248199999999999,0.6784600000000001,1,6,3
0.10301,0.62538,11.935760000000002,1,6,4
0.17779,0.24775,5.24902,1,7,-1
0.34241,0.27872,0.64746,1,7,-1
0.28315,0.25035,0.5908100000000001,1,7,-1
0.09614,0.39836,8.554450000000001,1,7,2
0.24554,0.2364,2.83838,1,7,0
0.05717000000000001,0.63065,2.5634799999999998,1,7,4
0.08800000000000001,0.74174,0.29736,1,7,-1
0.08215,0.73831,9.756129999999999,1,7,4
0.05849,0.6238100000000001,2.03736,1,7,3
0.2406,0.62753,0.37525,1,7,4
0.11656,0.5100100000000001,4.394769999999999,1,7,3
0.08849,0.23674,1.80591,1,7,0
0.12672,0.2454,3.55395,1,8,-1
0.16660999999999998,0.27859,0.7436499999999999,1,8,-1
0.1406,0.248,0.69555,1,8,-1
0.13123,0.23399,1.4724300000000001,1,8,0
0.01775,0.1338,2.1794100000000003,1,8,-1
0.09356,0.50471,0.2893,1,8,2
0.09502,0.52444,1.15112,1,8,3
0.09089,0.61753,0.94751,1,8,3
0.10068,0.28653,13.23483,1,8,1
0.16913,0.28365,15.134789999999999,1,8,-1
0.08342000000000001,0.62879,38.36452,1,8,4
0.10761,0.28502,0.22143000000000002,1,8,-1
0.1167,0.28564,0.6274500000000001,1,9,1
0.11695,0.2832,6.104029999999999,1,9,-1
0.12508,0.5108699999999999,5.326180000000001,1,9,3
0.10074,0.62657,16.76294,1,9,4
0.09329,0.6250100000000001,3.63917,1,9,4
0.10654,0.6233,14.97071,1,9,3
0.15682,0.5071,1.0005,1,9,2
